Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
selutselut,@selutselut,2024-10-13T16:43:07.000Z,False,"Woy pak Jokowi, ayolah pak buat aturan meniadakan tunjangan buat para eksekutif sama legislatif pak, katanya mendengar suara rakyat, Cok suaraku Ra tau dirungokne ngentot.",0,0,0,14,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/selutselut/status/1845505557387768276,tweet_id:1845505557387768276
alumni memalukan,@anies_ahok,2024-10-13T16:43:00.000Z,False,fufufafa ga mempan wahai para anak abah….kita ganti strategi,0,0,0,12,[],[],"['\\U0001f923', '\\U0001f923']",https://pbs.twimg.com/profile_images/1841449879366991873/Bd58v_KL_normal.jpg,https://x.com/anies_ahok/status/1845505527805288652,tweet_id:1845505527805288652
KolotKalapawin,@OxDajjal,2024-10-13T16:42:56.000Z,False, ntr para menteri dan Cagub terpilih  di sumpah pocong aja,0,0,0,2,[],['@prabowo'],[],https://pbs.twimg.com/profile_images/1845502021753008128/NPbfGsYL_normal.jpg,https://x.com/OxDajjal/status/1845505511875346656,tweet_id:1845505511875346656
sanas,@minggudesu,2024-10-13T16:42:11.000Z,False,"busetttttt,,, liat dulu itu konteksnya apa, yang dibahas apa, blunder nya gimana. ya bener banyak orang yg kerja keras bisa dapet saldo banyak. gak semua orang didukung finansial dari ortu buat buka bisnis, makanya ada yang namanya NAPAK TANAH. marah2 aja kayak prabowo.",0,0,0,15,[],[],[],https://pbs.twimg.com/profile_images/1656706941014650880/Y4zGHllM_normal.jpg,https://x.com/minggudesu/status/1845505323437900246,tweet_id:1845505323437900246
Harian Kompas,@hariankompas,2024-10-13T16:42:06.000Z,True,"Meski tidak masuk kabinet, Nasdem tetap berkomitmen mendukung pemerintahan Prabowo. http://baca.komp.as/TFJFPw #Polhuk #AdadiKompas",0,1,0,392,"['#Polhuk', '#AdadiKompas']",[],[],https://pbs.twimg.com/profile_images/1810124683188350976/RS_tUqhb_normal.jpg,https://x.com/hariankompas/status/1845505302961299950,tweet_id:1845505302961299950
fififafa,@SudartoFarel,2024-10-13T16:41:54.000Z,True,"Hallo pak  
Apakah anjing penjilat  sudah anda buatkan kandang nya ?? ",0,0,0,2,[],"['@prabowo', '@kangdede78']",['\\U0001fae3'],https://pbs.twimg.com/profile_images/1841324271894962176/oROOKLnm_normal.jpg,https://x.com/SudartoFarel/status/1845505251836899401,tweet_id:1845505251836899401
Wijaya Tama,@WijayaTama83731,2024-10-13T16:41:07.000Z,False,Apa iya sih ?? Kayaknya bukan deh.Prabowo takut harus kalah utk ketiga kalinya kayaknya makanya cara satu2nya harus merangkul Jokowi.,0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1843704417855647744/aJRlEsUu_normal.jpg,https://x.com/WijayaTama83731/status/1845505052775219607,tweet_id:1845505052775219607
Bullbull Merah Putih,@Bullbull_Merah,2024-10-13T16:41:02.000Z,False,,0,0,0,34,[],[],[],https://pbs.twimg.com/profile_images/1839247037235343360/mDrWSU6X_normal.jpg,https://x.com/Bullbull_Merah/status/1845505035276525969,tweet_id:1845505035276525969
Wawan Hermawan,@wawan_hrmwn15,2024-10-13T16:40:21.000Z,False,Terima kasih Prabowo-Gibran atas program yang sangat dibutuhkan oleh masyarakat. #MakanBergiziUntukBangsa,0,0,0,7,['#MakanBergiziUntukBangsa'],[],[],https://pbs.twimg.com/profile_images/1681913228123832320/WEWciqu9_normal.jpg,https://x.com/wawan_hrmwn15/status/1845504861363945642,tweet_id:1845504861363945642
Lintang af,@bukanseleramu_1,2024-10-13T16:40:03.000Z,False,Tempe dipercaya ,1,0,0,18,[],[],"['\\U0001f923', '\\U0001f923']",https://pbs.twimg.com/profile_images/1839233214692601856/I3DPyqgL_normal.jpg,https://x.com/bukanseleramu_1/status/1845504786294329753,tweet_id:1845504786294329753
Trio Kwek Kwek,@TrioKwekKwek555,2024-10-13T16:39:50.000Z,False,Fufufafa itu akun Kaskus milik Gibran menurut penuturan Kaesang. Isinya caci maki Gibran ke Prabowo 2014-2022#JokowiHarusDiadili #JokowiHarusDiadili,0,1,1,22,"['#JokowiHarusDiadili', '#JokowiHarusDiadili']",[],[],https://pbs.twimg.com/profile_images/1768046447663218689/pYzJdhLu_normal.jpg,https://x.com/TrioKwekKwek555/status/1845504733072765290,tweet_id:1845504733072765290
varhan kebab,@donatbluberi,2024-10-13T16:39:01.000Z,False,Definisi BAKA LIFE mengenaskan banget deh udah presiden prabowo wakilnya gibran seunghan keluar riize benar benar kehidupan yang tolol,0,0,0,6,[],[],[],https://pbs.twimg.com/profile_images/1266737341936230403/7MFFt7sm_normal.jpg,https://x.com/donatbluberi/status/1845504525358317693,tweet_id:1845504525358317693
U sp y,@Uspy22003,2024-10-13T16:38:19.000Z,False,Mungkin knp nikmir bela itu org kn nikmir sempat bela tim Prabowo ditambah lgi partai pan juga pendukung Prabowo jdinya dia bela anak ny,0,0,0,165,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/Uspy22003/status/1845504350359318835,tweet_id:1845504350359318835
Nico Simanjuntak,@Simanjunta9Nico,2024-10-13T16:38:18.000Z,False,"Membantu Prabowo Kembali ke UUD 1945.

""Berbeda dgn Jokowi atau Anies Baswedan tdk memiliki partai politik, Prabowo sejak awal membangun modal politiknya melalui Gerindra. Sebagai presiden terpilih Prabowo bkn petugas partai biasa spt Jokowi""https://kbanews.com/pilihan-redaksi/membantu-prabowo-kembali-ke-uud-1945/…",0,1,3,29,[],['@NenkMonica'],[],https://pbs.twimg.com/profile_images/1460146654795866113/Nuta3_FP_normal.jpg,https://x.com/Simanjunta9Nico/status/1845504345896583210,tweet_id:1845504345896583210
mulyono downfall,@endangbambhang,2024-10-13T16:38:15.000Z,False,Wok lihat wok kelakuan fufufafa ,0,0,0,47,[],[],['\\U0001f602'],https://pbs.twimg.com/profile_images/1827629557903753216/awGPlxlj_normal.jpg,https://x.com/endangbambhang/status/1845504334819361141,tweet_id:1845504334819361141
Nayama Azra,@nayama_azra2,2024-10-13T16:38:06.000Z,False,Program ini menunjukkan bahwa Prabowo-Gibran benar-benar peduli pada masa depan generasi muda. #MakanBergiziUntukBangsa,0,0,0,2,['#MakanBergiziUntukBangsa'],[],[],https://pbs.twimg.com/profile_images/1696409101574742016/Phpva8Vc_normal.jpg,https://x.com/nayama_azra2/status/1845504295413985456,tweet_id:1845504295413985456
