Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Siti Marwah,@siti_marwahh,2024-10-13T15:09:34.000Z,False,prabowo-gibran pasti anak indonesia tumbuh kuat makan gizi grati   makanbergiziuntukbangsa,0,0,0,4,['#MakanBergiziUntukBangsa'],[],[],https://pbs.twimg.com/profile_images/1819297664611082240/iHfPyZsJ_normal.jpg,https://x.com/siti_marwahh/status/1845482015044624463,tweet_id:1845482015044624463
Taurus boy,@SugionoLil5245,2024-10-13T15:09:24.000Z,False,main mul jijik muak  hidup isi bohong tok,0,0,0,15,[],[],['\\U0001f92e'],https://pbs.twimg.com/profile_images/1775148655160565760/Wdk1eTzQ_normal.jpg,https://x.com/SugionoLil5245/status/1845481973290324211,tweet_id:1845481973290324211
ngadimin,@Ngadimi08002459,2024-10-13T15:09:18.000Z,False, tangkappejabatagenaseng,0,0,0,0,['#Tangkappejabatagenaseng'],[],[],https://pbs.twimg.com/profile_images/1437256328414523392/h13WkuCV_normal.jpg,https://x.com/Ngadimi08002459/status/1845481948703281395,tweet_id:1845481948703281395
Pam,@PambudiTri,2024-10-13T15:09:08.000Z,False,iya  akur capr wapr bikin meriang kaum low batt 16 24 ,0,0,0,7,[],[],[],https://pbs.twimg.com/profile_images/1486507903863324676/iF7HP886_normal.jpg,https://x.com/PambudiTri/status/1845481905665491161,tweet_id:1845481905665491161
pat,@piebunnieesss,2024-10-13T15:09:07.000Z,False,nalem bgt uploadnya,0,0,0,188,[],[],[],https://pbs.twimg.com/profile_images/1823197286765088768/vVPRdyZD_normal.jpg,https://x.com/piebunnieesss/status/1845481902775685236,tweet_id:1845481902775685236
David HS,@david_hasibuan,2024-10-13T15:08:59.000Z,False,tumbuh ekonomi 8  ckp berat  tp tdk  syarat investor hr masuk  bgmn daya tarik  dg jalan gcg pasti hukum   beliau feel yg thdp ekonomi  anak begawan sumitro,0,0,1,8,[],['@prabowo'],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/david_hasibuan/status/1845481867165978734,tweet_id:1845481867165978734
The Bodyguard,@halo16447,2024-10-13T15:08:52.000Z,False,mental jilat contoh jabat mental rusak rusak generasi bangsa ikut generasi bangsa  depan prabowo foku tegak adil rakyat indonesia  jilat lindung bajing,0,0,3,162,[],[],[],https://pbs.twimg.com/profile_images/1730258050576228352/EMBOd8fK_normal.jpg,https://x.com/halo16447/status/1845481839521309115,tweet_id:1845481839521309115
Septi Wajayi,@septi_wajayi,2024-10-13T15:08:34.000Z,False,program makan sehat anak indonesia terima kasih prabowo-gibran  makanbergiziuntukbangsa,0,0,0,3,['#MakanBergiziUntukBangsa'],[],[],https://pbs.twimg.com/profile_images/1682229482382573569/cWwvDkRU_normal.jpg,https://x.com/septi_wajayi/status/1845481763549880680,tweet_id:1845481763549880680
Kopi Setengah,@rhamasukma,2024-10-13T15:08:34.000Z,False,prabowo sosok tubuh  tentara keluarga cendana  gua filosofi  mindset visi presiden soeharto hidup  moga indonesia lesat kejar tinggal 26 negara ,0,0,1,337,[],[],[],https://pbs.twimg.com/profile_images/1315932990141202432/sXLy3yFA_normal.jpg,https://x.com/rhamasukma/status/1845481761574396103,tweet_id:1845481761574396103
Muhammad Fachrozi,@MuhammadFachroz,2024-10-13T15:08:33.000Z,False,gak baha fufufafa ,0,0,1,89,[],[],[],https://pbs.twimg.com/profile_images/1722637350160003072/qXz9jKY7_normal.jpg,https://x.com/MuhammadFachroz/status/1845481760857235485,tweet_id:1845481760857235485
RIP Reformasi,@PasTIGAma2024,2024-10-13T15:08:20.000Z,False,pa prabowo sih  ga resmi istana negara ikn,0,0,0,108,[],[],"['\\U0001f602', '\\U0001f602']",https://pbs.twimg.com/profile_images/1782441255617835008/GnDuvtWG_normal.jpg,https://x.com/PasTIGAma2024/status/1845481703474925893,tweet_id:1845481703474925893
Behappy,@xsolusix,2024-10-13T15:08:06.000Z,False,kutuk kutuk lihat menang pilpr karna gak kutuk,1,0,2,9,[],"['@Israel', '@prabowo', '@Israel']",[],https://pbs.twimg.com/profile_images/1808082246508990464/GWLDvXp8_normal.jpg,https://x.com/xsolusix/status/1845481645983600972,tweet_id:1845481645983600972
Mbah Ugeng,@MbahUgeng5,2024-10-13T15:08:06.000Z,False,howo e pancen pana bin sumuk ma agu,1,0,0,89,[],[],[],https://pbs.twimg.com/profile_images/1430822873166270466/ruupaBb9_normal.jpg,https://x.com/MbahUgeng5/status/1845481644968567016,tweet_id:1845481644968567016
rg,@rice_guyy,2024-10-13T15:07:59.000Z,False,prabowo daki meru,1,0,8,1.2K,[],[],[],https://pbs.twimg.com/profile_images/1845323509637185537/4Gf2LjIF_normal.jpg,https://x.com/rice_guyy/status/1845481616308908322,tweet_id:1845481616308908322
Mr. Mu'Q'Dee,@DjoyoD_joyo789,2024-10-13T15:07:54.000Z,False,lihat tertawa mul  hina rendah banget prabowo  gestur mu ,0,0,0,12,[],[],[],https://pbs.twimg.com/profile_images/1754263552419045376/KPEfFIR4_normal.jpg,https://x.com/DjoyoD_joyo789/status/1845481596759191659,tweet_id:1845481596759191659
H.Irawan,@harman_i,2024-10-13T15:07:49.000Z,False,aja  lu suka pimpin org dgn kapasita intelektualita yg ok  milik rekam jejak yg pimpin orang yg doyan film porno  leceh wanita medso  cela hina pribadi orang penyimeng ,0,0,0,19,[],['@prabowo'],[],https://pbs.twimg.com/profile_images/1838056359251886080/CbAEGgUC_normal.jpg,https://x.com/harman_i/status/1845481574537863619,tweet_id:1845481574537863619
